"DateTime","Epoch","TripID","RouteID","DirectionID","Latitude","Longitude"
"06-05-20  18-28-21","1591403108","113398411",,"1","40.1711311340332","-105.1038818359375"
"06-05-20  18-28-21","1591403269","113413219",,"1","39.713951110839844","-104.9963607788086"
"06-05-20  18-28-21","1591403230","113395141",,"1","39.754032135009766","-105.0009536743164"
"06-05-20  18-28-21","1591403261","113456982",,"0","39.72498321533203","-104.84314727783203"
"06-05-20  18-28-21","1591403253","113413218",,"1","39.62807083129883","-104.9047622680664"
"06-05-20  18-28-21","1591402713","113395140",,"1","39.7542839050293","-105.00144958496094"
"06-05-20  18-28-21","1591403266","113412125",,"1","39.71839904785156","-104.99638366699219"
"06-05-20  18-28-21","1591403275","113422296",,"0","40.01463317871094","-105.21610260009766"
"06-05-20  18-28-21","1591403193","113415073",,"0","39.634708404541016","-104.90465545654297"
"06-05-20  18-28-21","1591403266","113415072",,"0","39.75497055053711","-104.84140014648438"
"06-05-20  18-28-21","1591403236","113388297",,"0","39.75341796875","-105.00093078613281"
"06-05-20  18-28-21","1591403280","113406007",,"1","40.0168342590332","-105.27670288085938"
"06-05-20  18-28-21","1591403278","113400946",,"1","39.70180130004883","-105.05332946777344"
"06-05-20  18-28-21","1591403284","113397695",,"0","39.70705032348633","-105.07886505126953"
"06-05-20  18-28-21","1591403264","113396122",,"0","39.740150451660156","-105.09895324707031"
"06-05-20  18-28-21","1591403276","113397333",,"1","39.73441696166992","-104.9598159790039"
"06-05-20  18-28-21","1591403242","113396123",,"0","39.740333557128906","-105.01567077636719"
"06-05-20  18-28-21","1591403258","113396124",,"0","39.740299224853516","-105.03527069091797"
"06-05-20  18-28-21","1591403274","113402451",,"0","39.87908172607422","-104.98345184326172"
"06-05-20  18-28-21","1591403282","113395035",,"0","39.74005126953125","-104.93659973144531"
"06-05-20  18-28-21","1591403282","113393891",,"0","39.77943420410156","-104.84691619873047"
"06-05-20  18-28-21","1591403268","113397692",,"0","39.71083450317383","-104.86723327636719"
"06-05-20  18-28-21","1591403277","113412255",,"0","39.58683395385742","-104.81607055664062"
"06-05-20  18-28-21","1591403264","113402452",,"0","39.83206558227539","-104.9173355102539"
"06-05-20  18-28-21","1591403113","113413223",,"1","39.7483024597168","-105.01052856445312"
"06-05-20  18-28-21","1591403278","113393658",,"0","39.81891632080078","-104.98290252685547"
"06-05-20  18-28-21","1591403272","113395707",,"1","39.74028396606445","-104.91670227050781"
"06-05-20  18-28-21","1591403002","113412133",,"0","39.754581451416016","-105.00154876708984"
"06-05-20  18-28-21","1591403277","113413221",,"1","39.68452072143555","-104.9516372680664"
"06-05-20  18-28-21","1591403272","113404514",,"1","39.71963119506836","-105.12812042236328"
"06-05-20  18-28-21","1591403225","113413220",,"1","39.66100311279297","-104.92230987548828"
"06-05-20  18-28-21","1591403280","113397421",,"0","39.7546501159668","-105.1218032836914"
"06-05-20  18-28-21","1591403279","113412268",,"0","39.69691848754883","-104.80975341796875"
"06-05-20  18-28-21","1591403258","113412269",,"0","39.75923156738281","-104.84622955322266"
"06-05-20  18-28-21","1591403262","113395122",,"1","39.74024963378906","-104.91228485107422"
"06-05-20  18-28-21","1591403270","113388273",,"0","39.656349182128906","-104.99147033691406"
"06-05-20  18-28-21","1591403257","113392532",,"1","39.69675064086914","-104.99566650390625"
"06-05-20  18-28-21","1591403270","113393504",,"1","39.73298263549805","-104.97408294677734"
"06-05-20  18-28-21","1591403272","113393502",,"1","39.6550178527832","-104.98788452148438"
"06-05-20  18-28-21","1591403264","113398073",,"0","39.80970001220703","-105.025146484375"
"06-05-20  18-28-21","1591403282","113402344",,"1","39.727115631103516","-104.98611450195312"
"06-05-20  18-28-21","1591403125","113413354",,"1","39.75589370727539","-105.0027084350586"
"06-05-20  18-28-21","1591403265","113402345",,"1","39.66393280029297","-104.85863494873047"
"06-05-20  18-28-21","1591403249","113413353",,"1","39.5808219909668","-105.02471923828125"
"06-05-20  18-28-21","1591402952","113413352",,"1","39.578651428222656","-105.02578735351562"
"06-05-20  18-28-21","1591403271","113400727",,"0","39.76945114135742","-104.98690032958984"
"06-05-20  18-28-21","1591403288","113413350",,"1","39.70124053955078","-104.9902572631836"
"06-05-20  18-28-21","1591403112","113402108",,"0","39.912532806396484","-104.99398040771484"
"06-05-20  18-28-21","1591403268","113398071",,"0","39.69063186645508","-105.02498626708984"
"06-05-20  18-28-21","1591403268","113398070",,"0","39.77766799926758","-105.025146484375"
"06-05-20  18-28-21","1591403263","113399731",,"1","39.775115966796875","-104.74288177490234"
"06-05-20  18-28-21","1591403249","113399730",,"1","39.782466888427734","-104.86226654052734"
"06-05-20  18-28-21","1591403260","113412279",,"1","39.68596649169922","-104.81005096435547"
"06-05-20  18-28-21","1591403267","113403443",,"0","39.8709831237793","-104.75606536865234"
"06-05-20  18-28-21","1591403260","113406036",,"0","39.97121810913086","-104.76206970214844"
"06-05-20  18-28-21","1591403281","113402475",,"1","39.856201171875","-104.97975158691406"
"06-05-20  18-28-21","1591403284","113412278",,"1","39.75693130493164","-104.82466888427734"
"06-05-20  18-28-21","1591403275","113388285",,"0","39.678131103515625","-104.98746490478516"
"06-05-20  18-28-21","1591403282","113392542",,"1","39.6981315612793","-104.90249633789062"
"06-05-20  18-28-21","1591403282","113391333",,"1","39.65001678466797","-104.91313171386719"
"06-05-20  18-28-21","1591403284","113392541",,"1","39.69974899291992","-105.05331420898438"
"06-05-20  18-28-21","1591403274","113396104",,"0","39.75796890258789","-105.22250366210938"
"06-05-20  18-28-21","1591403255","113396589",,"1","39.751068115234375","-104.9030532836914"
"06-05-20  18-28-21","1591403279","113397316",,"0","39.762332916259766","-104.95970153808594"
"06-05-20  18-28-21","1591403260","113403445",,"1","39.91228485107422","-104.9941177368164"
"06-05-20  18-28-21","1591403277","113403568",,"0","39.943031311035156","-104.85363006591797"
"06-05-20  18-28-21","1591403260","113403446",,"1","39.88071823120117","-104.7614517211914"
"06-05-20  18-28-21","1591403274","113402116",,"1","39.7489013671875","-104.98746490478516"
"06-05-20  18-28-21","1591403277","113398696",,"0","39.6334342956543","-105.08338165283203"
"06-05-20  18-28-21","1591403272","113395064",,"0","39.74006652832031","-104.82921600341797"
"06-05-20  18-28-21","1591403261","113394096",,"0","39.703651428222656","-104.8192138671875"
"06-05-20  18-28-21","1591403271","113397246",,"0","39.9456672668457","-105.1637191772461"
